Id;Meal;Description;Category;Price;Quantity;Image
1;Nem au porc ou au poulet;;starters;6;(5pcs);nem
2;Nem aux crevettes;;starters;6;(5pcs);nem
3;Nem aux légumes;;starters;5;(5pcs);nem
4;Samoussa au boeuf ou au poulet;;starters;6;(5pcs);samoussa
5;Samoussa aux légumes;;starters;5;(5pcs);samoussa
6;Beignets de crevettes;;starters;5;(5pcs);beignets
7;Accras de morue;;starters;6;(5pcs);accras
8;Nuggets de poulet;;starters;5;(5pcs);nuggets
9;Brochette de poulet Yakitori;;starters;6;(5pcs);yakitori
10;Brochette de boeuf au fromage;;starters;6;(5pcs);boeufFromage
11;Raviolis frit au porc et crevettes;;starters;6;(5pcs);raviolisFrits
12;Xiumai aux crevettes;;starters;6;(5pcs);xiumai
13;Hakao aux crevettes;;starters;6;(5pcs);hakao
14;Aile de poulet farcie;;starters;5;(1pc);ailePouletFarcie
15;Crabe farcie;;starters;5;(1pc);crabeFarcie
16;Banh bao - Brioche à la vapeur;;starters;3.5;(1pc);banhBao
17;Panaché d’entrées à partger;Nems, Samoussas, Beignets de crevettes, Raviolis frits, Xiumai, Hakao, Accras de morue;starters;20;(20pcs);panacheEntrees
18;Rouleaux de printemps au boeuf;;rolls;6;(2pcs);rolls
19;Rouleaux de printemps aux crevettes;;rolls;6;(2pcs);rolls
20;Rouleaux de printemps au poulet;;rolls;6;(2pcs);rolls
21;Rouleaux de printemps végétariens;;rolls;6;(2pcs);rolls
22;Salade d’ananas aux crevettes;;salads;9;;crevettes
23;Salade de poulet croustillant sauce carotte;;salads;9;;poulet
24;Salade de mangue vert au canard;;salads;9;;canard
25;Salade boeuf cru mariné au citron vert;;salads;12;;bœuf
26;Bo Bun Nem - Vermicelle de riz, boeuf sauté, nems frits;;salads;10;;boBun
27;Bo Bun Tom - Vermicelle de riz, crevettes sautées à la citronnelle, nems frits.;;salads;10;;boBun
28;Bo Bun Chay - Vermicelle de riz, tofu sauté aux légumes, nem frits.;;salads;8;;boBun
29;Nouilles sautées au porc laqué ou au poulet;;noodlesRices;10;;nouilles
30;Nouilles sautées aux crevettes ou au boeuf;;noodlesRices;12;;nouilles
31;Nouilles sautées aux fruits de mer;;noodlesRices;14;;nouilles
32;Nouilles sautées aux légumes et tofu;;noodlesRices;10;;nouilles
33;Pad Thai -Pâtes de riz sautées aux crevettes;;noodlesRices;12;;padThai
34;Pad Thai - Pâtes de riz sautées au poulet;;noodlesRices;12;;padThai
35;Riz sauté au porc laqué ou au poulet;;noodlesRices;12;;riz
36;Riz sauté aux crevettes ou au boeuf;;noodlesRices;12;;riz
37;Pho - Pâtes de riz au boeuf;;soups;10;;pho
38;Bun Bo Hue - Vermicelles de riz au boeuf à la citronnelle;;soups;10;;bunBoHue
39;Hu Tieu - Vermicelles de riz aux crevettes et porc laqué;;soups;10;;huTieu
40;Porc au caramel traditionnel poivré;;meals;12;1 accompagnement de votre choix;porcCaramel
41;Porc laqué;;meals;12;1 accompagnement de votre choix;porcLaque
42;Poulet au curry rouge;;meals;12;1 accompagnement de votre choix;pouletCurry
43;Poulet au gingembre et feuilles de citronnier;;meals;12;1 accompagnement de votre choix;pouletGing
44;Poulet aux noix de cajou, poivron, oignon;;meals;12;1 accompagnement de votre choix;pouletCajou
45;Seiche au sel et poivre;;meals;14;1 accompagnement de votre choix;seiche
46;Seiche saisie aux 5 épices;;meals;14;1 accompagnement de votre choix;seiche
47;Seiche sautées aux basilic Thai, piments, poivrons;;meals;14;1 accompagnement de votre choix;seiche
48;Boeuf aux oignons;;meals;14;1 accompagnement de votre choix;bœuf
49;Boeuf sautées aux basilic Thai, piments, poivrons;;meals;14;1 accompagnement de votre choix;boeuf
50;Bo Luc Lac - Dés de boeuf marinés et sautés;;meals;14;1 accompagnement de votre choix;boLucLac
51;Crevettes grillées aux sel et poivre;;meals;12;1 accompagnement de votre choix;crevettes
52;Crevettes à la sauce aigre-douce ou piquante;;meals;12;1 accompagnement de votre choix;crevettes
53;Crevettes sautées aux basilic Thai, piments, poivrons;;meals;12;1 accompagnement de votre choix;crevettes
54;Canard laqué;;meals;14;1 accompagnement de votre choix;canardLaque
55;Emincé de canard à l’ananas;;meals;14;1 accompagnement de votre choix;canardEmince
56;Magret de canart mariné au miel et soja;;meals;14;1 accompagnement de votre choix;magretCanard
57;Pavé de thon grillé à la sauce teriyaki;;meals;14;1 accompagnement de votre choix;paveThon
58;Pave de saumon à la sauce piquante ou 5 épices;;meals;14;1 accompagnement de votre choix;paveSaumon
59;Tofu farci aux champignons noirs et vermicelles;;meals;10;1 accompagnement de votre choix;tofu
60;Nouilles sautées aux légumes;;accompaniments;5;;nouilles
